customer id;gender;dob;city_id;
1;F;3/29/92;7;
2;M;2/1/93;13;
3;F;1/7/94;6;
4;M;10/5/97;8;
5;M;8/4/07;15;
6;M;1/9/03;13;
7;M;8/20/81;16;
8;M;2/12/83;11;
9;F;4/7/92;9;
10;M;8/19/05;17;
11;F;6/8/85;19;
12;M;6/30/85;15;
13;M;9/18/87;2;
14;M;2/22/83;9;
15;M;5/5/86;9;
16;M;10/3/93;15;
17;F;5/23/92;9;
18;M;4/19/89;4;
19;M;7/26/92;19;
20;M;3/14/83;9;
21;M;9/14/89;15;
22;F;8/18/86;7;
23;F;11/24/83;11;
24;F;3/1/96;14;
25;M;6/14/09;7;
26;M;6/21/09;16;
27;M;3/26/81;9;
28;F;12/28/95;14;
29;M;3/28/94;5;
30;F;4/20/10;16;
31;M;5/31/99;2;
32;F;9/5/01;10;
33;F;5/13/85;11;
34;F;12/17/96;4;
35;F;1/10/06;17;
36;M;1/20/08;2;
37;F;7/27/98;10;
38;F;2/19/82;9;
39;F;9/21/84;17;
40;F;2/28/83;10;
41;F;8/30/96;9;
42;F;5/8/06;20;
43;F;8/25/84;6;
44;M;9/19/95;17;
45;F;4/27/98;1;
46;F;3/25/07;5;
47;M;8/17/01;18;
48;F;9/26/89;17;
49;M;3/14/05;13;
50;M;2/1/04;16;
51;F;9/6/01;6;
52;F;10/22/86;15;
53;F;2/27/83;18;
54;F;11/13/84;9;
55;F;11/10/00;14;
56;F;8/29/92;7;
57;F;11/10/92;11;
58;F;8/24/00;20;
59;F;1/29/97;1;
60;M;11/7/02;13;
61;M;5/10/06;15;
62;M;5/11/08;11;
63;F;4/3/10;15;
64;M;8/8/82;1;
65;F;3/2/00;15;
66;F;11/2/85;19;
67;F;3/7/01;11;
68;F;10/2/10;9;
69;M;4/20/07;3;
70;M;10/8/81;2;
71;F;12/22/01;14;
72;M;3/24/87;14;
73;F;6/25/01;7;
74;M;2/22/10;6;
75;F;5/4/82;16;
76;F;9/26/03;1;
77;M;8/24/09;19;
78;M;5/11/02;10;
79;F;2/2/07;9;
80;M;1/21/89;7;
81;M;10/17/09;6;
82;M;5/17/01;13;
83;M;4/12/93;4;
84;M;12/9/85;9;
85;F;12/8/00;12;
86;F;9/15/95;1;
87;F;10/7/84;13;
88;F;9/10/97;19;
89;M;11/1/91;15;
90;F;9/1/01;8;
91;M;12/23/08;12;
92;F;6/5/09;5;
93;M;5/29/91;2;
94;M;5/19/94;18;
95;M;6/10/05;14;
96;M;9/14/95;1;
97;F;9/2/05;3;
98;M;8/12/97;15;
99;M;10/23/99;16;
100;F;6/16/04;19;
101;M;6/7/86;4;
102;F;2/14/82;13;
103;M;5/13/05;1;
104;F;5/11/03;2;
105;M;12/2/84;10;
106;M;7/21/88;16;
107;M;7/4/91;14;
108;F;12/28/90;4;
109;M;6/17/02;15;
110;M;1/17/10;6;
111;M;11/3/90;11;
112;M;6/20/96;5;
113;F;4/23/07;15;
114;F;11/21/99;18;
115;F;8/11/84;17;
116;M;5/31/83;20;
117;M;8/25/88;19;
118;M;6/6/80;18;
119;M;8/4/99;11;
120;F;4/8/08;2;
121;F;9/5/03;16;
122;F;6/24/99;12;
123;F;5/8/06;11;
124;F;1/9/80;19;
125;M;7/11/98;9;
126;F;2/12/10;7;
127;F;7/18/07;19;
128;M;8/9/03;20;
129;M;9/17/92;19;
130;M;11/13/95;12;
131;F;4/10/05;17;
132;M;8/7/00;13;
133;F;7/30/83;2;
134;F;1/29/81;15;
135;M;1/2/88;10;
136;F;12/28/89;12;
137;M;5/10/93;8;
138;M;10/17/86;20;
139;M;11/2/80;15;
140;F;4/18/99;11;
141;M;6/15/01;7;
142;M;9/27/81;16;
143;F;9/3/84;13;
144;F;11/8/82;20;
145;F;6/25/06;8;
146;F;4/14/92;19;
147;F;9/14/88;5;
148;F;5/20/07;19;
149;F;6/3/01;1;
150;M;9/6/97;6;
151;M;11/10/84;4;
152;F;4/23/86;3;
153;M;12/23/81;6;
154;M;1/24/95;19;
155;F;4/12/90;13;
156;M;12/20/96;13;
157;M;5/28/84;4;
158;F;10/17/88;16;
159;M;7/10/99;9;
160;F;4/17/10;15;
161;F;10/23/97;8;
162;F;1/28/86;19;
163;M;6/17/85;8;
164;M;12/14/84;8;
165;M;1/23/09;20;
166;M;10/23/81;6;
167;M;2/6/95;8;
168;M;6/18/99;3;
169;F;1/3/92;3;
170;M;6/30/07;19;
171;M;8/26/00;9;
172;F;9/28/10;15;
173;M;9/27/90;15;
174;M;1/31/92;3;
175;F;9/3/96;12;
176;F;12/17/01;3;
177;F;2/11/81;17;
178;M;3/11/94;4;
179;M;1/21/84;17;
180;F;1/9/84;1;
181;M;9/10/10;1;
182;M;11/28/86;17;
183;M;9/3/95;9;
184;M;1/2/80;17;
185;F;6/3/83;13;
186;F;4/7/97;16;
187;F;9/24/81;10;
188;M;4/4/09;13;
189;M;10/23/97;16;
190;F;1/16/03;16;
191;M;1/27/91;2;
192;M;2/15/97;8;
193;F;11/11/89;19;
194;M;5/10/97;13;
195;M;3/8/85;20;
196;M;4/22/05;8;
197;F;4/5/95;14;
198;F;8/12/02;19;
199;M;8/3/83;16;
200;M;9/29/03;5;
201;M;1/12/01;12;
202;M;8/17/91;13;
203;F;5/7/80;14;
204;F;5/28/01;7;
205;F;10/22/85;18;
206;M;1/26/88;20;
207;F;1/29/93;14;
208;F;5/21/96;19;
209;M;2/1/95;8;
210;M;8/14/04;11;
211;F;12/6/04;3;
212;M;8/13/94;19;
213;F;2/25/92;5;
214;M;10/4/00;6;
215;M;4/29/84;12;
216;F;2/17/95;13;
217;F;2/8/98;4;
218;M;10/5/07;5;
219;F;10/18/01;2;
220;F;10/12/04;7;
221;M;7/27/97;19;
222;M;5/18/82;5;
223;M;1/28/10;17;
224;M;7/19/10;12;
225;M;8/25/97;8;
226;F;8/24/98;14;
227;F;7/18/05;12;
228;M;10/14/83;13;
229;M;9/9/80;14;
230;M;8/7/07;9;
231;M;5/26/98;9;
232;F;11/8/04;5;
233;F;10/13/97;11;
234;M;10/12/00;11;
235;M;6/15/08;7;
236;M;8/27/90;18;
237;F;6/22/94;2;
238;F;12/30/10;14;
239;M;5/21/83;15;
240;F;3/16/08;14;
241;M;8/11/01;7;
242;F;12/21/96;6;
243;F;11/15/04;17;
244;F;5/24/97;12;
245;F;10/27/07;4;
246;F;5/2/93;11;
247;M;9/3/86;17;
248;M;4/12/84;18;
249;M;8/6/85;20;
250;M;8/7/98;3;
251;M;9/23/82;13;
252;F;7/11/05;18;
253;F;12/10/91;12;
254;M;11/18/06;9;
255;F;11/10/01;19;
256;F;11/30/91;17;
257;F;10/4/82;11;
258;F;5/8/85;7;
259;F;8/28/02;20;
260;M;4/10/85;5;
261;F;4/22/88;1;
262;M;6/26/93;11;
263;F;4/6/84;15;
264;M;2/8/07;19;
265;F;12/30/91;13;
266;M;12/3/92;12;
267;F;4/16/89;6;
268;F;1/12/81;15;
269;M;3/2/80;8;
270;M;1/24/96;1;
271;F;4/10/01;14;
272;M;7/3/97;20;
273;F;10/28/05;16;
274;F;9/29/92;7;
275;F;5/31/94;2;
276;F;4/8/05;16;
277;F;10/2/06;13;
278;M;9/10/98;17;
279;M;8/2/98;20;
280;M;3/8/87;11;
281;F;7/23/91;3;
282;F;8/5/94;6;
283;M;3/4/02;14;
284;M;2/13/89;10;
285;F;10/28/90;6;
286;F;12/15/10;9;
287;F;5/5/07;10;
288;F;5/8/83;13;
289;F;11/24/93;9;
290;M;1/18/02;15;
291;M;7/9/91;5;
292;M;8/16/89;1;
293;M;6/12/05;10;
294;M;7/7/92;20;
295;M;3/23/87;7;
296;F;5/27/97;13;
297;M;6/27/07;5;
298;M;8/4/05;17;
299;F;2/25/89;4;
300;F;2/23/00;17;
301;M;5/27/97;16;
302;M;9/20/98;20;
303;F;2/24/03;19;
304;F;5/9/87;6;
305;F;9/14/82;10;
306;F;12/16/86;2;
307;F;6/22/82;17;
308;F;5/20/07;16;
309;M;9/5/10;8;
310;M;9/20/81;15;
311;F;4/26/04;14;
312;M;4/16/03;18;
313;F;4/4/82;8;
314;F;6/3/83;1;
315;F;3/21/97;17;
316;M;3/25/90;19;
317;M;12/2/00;2;
318;M;8/13/05;7;
319;M;1/23/82;12;
320;M;11/13/06;1;
321;M;7/29/87;14;
322;M;9/28/85;11;
323;M;7/5/95;14;
324;M;5/23/92;19;
325;M;3/20/90;8;
326;M;8/8/80;5;
327;M;8/12/90;20;
328;F;4/19/90;12;
329;M;10/3/04;1;
330;F;8/22/90;10;
331;F;6/22/92;4;
332;F;7/14/84;3;
333;M;3/10/00;8;
334;M;5/24/96;8;
335;F;10/19/89;6;
336;F;8/15/04;19;
337;F;4/29/98;20;
338;M;5/24/87;1;
339;M;11/13/04;9;
340;M;4/25/94;11;
341;M;1/25/82;11;
342;M;7/11/94;19;
343;F;7/13/91;3;
344;F;1/7/03;7;
345;M;8/11/95;19;
346;M;4/5/96;18;
347;F;11/14/94;16;
348;M;5/14/97;1;
349;F;8/17/93;20;
350;F;7/15/10;6;
351;F;3/24/08;8;
352;F;2/29/96;20;
353;M;1/10/10;1;
354;F;7/1/86;4;
355;F;9/1/93;17;
356;M;5/7/03;13;
357;F;8/29/91;13;
358;F;1/30/04;1;
359;M;7/9/08;19;
360;M;10/30/87;19;
361;M;8/26/05;10;
362;M;5/22/86;17;
363;F;11/18/05;16;
364;F;8/19/87;14;
365;M;11/29/01;19;
366;F;6/23/10;5;
367;M;7/23/91;9;
368;F;12/26/08;7;
369;M;3/18/83;18;
370;F;5/29/00;18;
371;M;7/19/05;18;
372;M;6/3/83;19;
373;F;11/7/97;6;
374;M;4/27/84;11;
375;F;3/4/06;11;
376;F;8/5/84;16;
377;M;5/18/80;15;
378;F;12/23/09;9;
379;M;12/28/02;1;
380;F;2/28/94;18;
381;F;8/21/83;20;
382;F;10/18/91;3;
383;M;8/13/07;17;
384;F;8/23/01;18;
385;F;12/7/98;15;
386;F;2/23/06;17;
387;F;12/8/95;12;
388;M;3/12/81;19;
389;F;3/13/89;17;
390;M;2/14/97;12;
391;F;6/28/92;10;
392;F;9/18/99;10;
393;F;8/5/02;7;
394;F;12/12/82;7;
395;F;8/28/96;2;
396;F;6/21/09;2;
397;M;8/11/92;4;
398;F;3/17/89;5;
399;M;11/15/81;11;
400;F;7/20/82;9;
401;F;1/3/82;12;
402;F;5/13/91;19;
403;M;8/13/90;6;
404;M;7/24/89;3;
405;M;1/13/85;8;
406;F;12/19/08;3;
407;F;8/12/06;16;
408;F;4/11/05;17;
409;M;8/21/85;10;
410;M;11/23/83;8;
411;M;6/3/96;9;
412;M;1/11/06;15;
413;F;11/8/94;20;
414;M;6/21/00;9;
415;M;10/23/92;2;
416;M;10/4/95;11;
417;M;4/18/09;12;
418;F;11/10/97;20;
419;M;12/21/06;5;
420;F;12/12/81;9;
421;F;6/10/86;14;
422;F;6/17/86;5;
423;F;1/29/82;4;
424;M;3/12/85;8;
425;M;9/2/82;18;
426;M;9/19/00;18;
