id,name,sex,height,weight,team
44959,Wendy Hale,F,162,58,Solomon Islands
44960,Hussein Haleem,M,156,48,Maldives
44961,Simona Halep,F,170,61,Romania
44962,Earl Haley,M,183,82,Guyana
44963,Ernest William Haley,M,,,Great Britain
44964,Ian Haley,M,170,70,South Africa
44965,James W. Haley,M,172,67,United States
44966,"Joseph Brennan ""Joe"" Haley",M,192,79,Canada
44967,Half Moon,M,,,Mohawk Indians-2
44968,Marianne Halfdan-Nielsen,F,,,Denmark
44969,Eliezer Halfin,M,168,68,Israel
44970,Brett Halford,M,180,72,Zimbabwe
44971,"Carl-Christian ""Calle"" Halfvarsson",M,184,79,Sweden
44972,Philipp Hlg,M,186,78,Liechtenstein
44973,Mohamed Rajab Halibi,M,170,70,Lebanon
44974,Karel Halk,M,,,Bohemia
44975,"Michael ""Miki"" Halika",M,182,70,Israel
44976,"Mirsad ""Michi"" Halilovic",M,169,65,Germany
44977,Mohammad Halilula,M,163,57,Afghanistan
44978,Ibrahim Ahmed Halim,M,,,Egypt
44979,Muhammad Taqiy Halim,M,191,82,United States Virgin Islands
44980,Mohamed Halimi,M,173,65,Algeria
44981,Frantiek Hal,M,175,74,Czechoslovakia
44982,Svitlana Valentynivna Haliuk,F,177,66,Ukraine
44983,Tnu Haljand,M,167,68,Soviet Union
44984,Corinna Halke (-Teichmann),F,157,45,West Germany-2
44985,Ral Adrin Halket,M,170,70,Argentina
44986,Rhett Halkett,M,180,80,South Africa
44987,Karen Inge Halkier,F,185,80,Denmark
44988,Oleh Halkin,M,172,63,Unified Team
44989,Anne Johanna Halkivaha,F,162,49,Finland
44990,Helge Halkjr,M,,,Denmark
44991,"Albert William ""Al"" Hall",M,185,99,United States
44992,Anthony Hall,M,190,102,United States
44993,Arman Hall,M,183,75,United States
44994,Cameron Hall,M,201,96,Canada
44995,Charles Lincoln Hall,M,175,66,United States
44996,Clifford Eric Martin Hall,M,,,Great Britain
44997,"Daniel James ""Danny"" Hall",M,180,82,Great Britain
44998,Darnell Kenneth Hall,M,183,78,United States
44999,Darren James Hall,M,183,73,Great Britain
45000,"David Connolly ""Dave"" Hall",M,,,United States
45001,Dennis William Hall,M,160,55,United States
45002,"Edward Ramsden ""Eddie"" Hall",M,,,Great Britain-2
45003,Eric William Hall,M,183,64,Great Britain
45004,"Ervin Henry ""Erv"" Hall",M,183,75,United States
45005,"Evelyne Ruth Hall (Davidson-, -Adams, -Butler)",F,167,58,United States
45006,Farrah Hall,F,170,58,United States
45007,Frank Hall,M,,,United States
45008,Frank Hall,M,183,80,Canada
45009,"Gary Wayne Hall, Sr.",M,186,74,United States
45010,"Gordon Randall ""Gordie"" Hall",M,185,88,United States
45011,Graeme Lansell Hall,M,176,88,Australia
45012,"Herbert Henry ""Herbie"" Hall",M,,,Great Britain
45013,James Stanton Hall,M,,,India
45014,Jessica Hall,F,183,75,Australia
45015,Johanna Sybille Hall  (Carp-),F,168,54,Great Britain
45016,John Hall,M,174,73,Great Britain
45017,Jonathan Hall,M,175,95,United States
45018,Kaye Marie Hall (-Greff),F,171,65,United States
45019,Kevin Hall,M,182,97,United States
45020,Lars Gran Ivar Hall,M,,,Sweden
45021,"Arthur Leonard ""Len"" Hall",M,,,Zimbabwe
45022,Linden Hall,F,167,51,Australia
45023,Loreen Doloris Hall,F,170,63,Great Britain
45024,Lucy Margaret Hall,F,178,60,Great Britain
45025,Luke Thomas Michael Hall,M,180,85,Swaziland
45026,Marielle Hall,F,160,51,United States
45027,Megan Penelope Hall (Evans-),F,175,63,South Africa
45028,"Michael Larry ""Mike"" Hall",M,186,77,Canada
45029,Nevil Siemers Hall,M,,,South Africa
45030,Noel William Hall,M,,,Australia
45031,Ryan Hall,M,180,61,United States
45032,"Samuel Wesley ""Sam"" Hall",M,175,70,United States
45033,Sam Hall,M,180,72,Australia
45034,"Alexander Noble ""Sandy"" Hall",M,,,Galt Football Club
45035,Michael Sean Hall,M,191,89,United States
45036,Sherman Hall,M,,,United States
45037,Thomas Hall,M,182,82,Canada
45038,Winslow William Hall,M,193,77,United States
45039,"Gary Wayne Hall, Jr.",M,198,99,United States
45040,Oliver Wade Hall-Craggs,M,,,Great Britain
45041,Geoffrey Norman Edward Hall-Say,M,,,Great Britain
45042,Ali Hallab,M,168,54,France
45043,Ian Hallam,M,193,71,Great Britain
45044,Tracey Jayne Hallam,F,157,62,Great Britain
45045,"Hugo Petter ""Heikki"" Hallamaa (Hyrn-)",M,,,Finland
45046,Sven Roger Hllander,M,173,74,Sweden
45047,Saul Hallap,M,172,79,Estonia
45048,Steven Leslie Hallard,M,188,84,Great Britain
45049,Ernst Johan Emanuel Hallberg,M,,,Sweden
45050,Karl Gsta Hallberg,M,,,Sweden
45051,"Olof Hjalmar ""Olle"" Hallberg",M,189,73,Sweden
45052,Sture Hllberg,M,,,Sweden
45053,sta Sigriur Halldrsdttir,F,178,72,Iceland
45054,Helga Halldrsdttir,F,174,60,Iceland
45055,Hreinn Halldrsson,M,192,125,Iceland
45056,Jn Halldrsson,M,,,Iceland
45057,Jnas O. Halldrsson,M,,,Iceland
45058,Per Halle,M,175,58,Norway
45059,Gunhild Halle-Haugen,F,165,48,Norway
45060,Neil Carl Halleen,M,191,84,United States
45061,Hans Birger Halln,M,187,87,Sweden
45062,Christian Halln-Paulsen,M,,,Norway-1
45063,Konrad Hallenbarter,M,168,67,Switzerland
45064,Simon Hallenbarter,M,193,91,Switzerland
45065,kos Haller,M,193,102,Hungary
45066,Christian Haller,M,175,72,Switzerland
45067,"David Joseph George ""Dave"" Haller",M,184,79,Great Britain
45068,Frank Bee Haller,M,,57,United States
45069,Fritz Haller,M,,81.5,Austria
45070,J. Haller,M,,,Belgium
45071,Jacques Edmond Haller,M,,,Belgium
45072,Katja Haller,F,162,61,Italy
45073,"Jacob Alexander ""Lecky"" Haller",M,180,79,United States-2
45074,Antoine Louis Ambroise Haller,M,,,France
45075,Ursina Haller,F,172,62,Switzerland
45076,Grard Hallet,M,185,80,France
45077,Denis W. Hallett,M,,60,Great Britain
45078,Kevin John Hallett,M,,,Australia
45079,Todd Hallett,M,195,95,Canada
45080,Eric Hilton Halley,M,,,South Africa
45081,ke Vilhelm Bertil Hallgren,M,,,Sweden
45082,rni r Hallgrmson,M,192,97,Iceland
45083,sgeir rn Hallgrmsson,M,191,92,Iceland
45084,Magns Aron Hallgrmsson,M,192,110,Iceland
45085,Amber Jae Halliday,F,170,56,Australia
45086,"Donald George ""Don"" Halliday",M,174,65,Great Britain
45087,Emily Pia Halliday,F,169,63,Australia
45088,"James ""Jim"" Halliday",M,,65.5,Great Britain
45089,Marcus Halliday,M,177,80,Great Britain
45090,Gerard Hallie,M,,,Netherlands
45091,Cyril Arthur Halligan,M,,,Great Britain
45092,Helger Hallik,M,187,124,Estonia
45093,Caroline Hallisey (-Kepka),F,162,60,United States
45094,Claire Anne Hallissey (Willer-),F,164,48,Great Britain
45095,Gunnar Hallkvist,M,,,Sweden
45096,Gustaf ke Linus Hallman,M,,,Sweden
45097,Magnus Nikolaus Hallman,M,,,Sweden
45098,"Benjamin ""Ben"" Hallock",M,199,108,United States
45099,"Gerard Hallock, III",M,,70,United States
45100,Jeanne Courtney Hallock (-Craig),F,173,61,United States
45101,Robert Halloran,M,,,Canada
45102,Awad Moukhtar Halloudah,M,,,Egypt
45103,"Norwood Penrose Hallowell, III",M,183,66,United States
45104,Matthew Ian Hallowes,M,,,South Africa
45105,Norman Frederick Hallows,M,175,60,Great Britain
45106,Evelyn Halls,F,173,58,Australia
45107,"Joanna ""Jo"" Halls",F,167,62,Australia
45108,Julian Halls,M,181,82,Great Britain
45109,Geir Hallsteinsson,M,185,76,Iceland
45110,Carl Emil Hallsthammar,M,,,United States
45111,Romuald Bonifatius Halm,M,,,Austria
45112,Bujor Hlmgeanu,M,180,79,Romania
45113,Gyula Halmay,M,,,Hungary
45114,"Johan Waldemar ""Juho"" Halme (Eliasson-)",M,178,85,Finland
45115,Pekka Olavi Halme,M,189,76,Finland
45116,Reijo Edvard Halme,M,168,62,Finland
45117,"Friedrich ""Fritz"" Halmen",M,,,Romania
45118,Oiva Sulo Kalervo Halmetoja,M,178,95,Finland
45119,Gyz Halmos (Hberfeld-),M,,,Hungary
45120,Tarmo Antero Halonen,M,169,59.5,Finland
45121,Lauri Arthur Halonen,M,164,51,Finland
45122,Kalle Niilo Ponteva Halonen,M,173,73.5,Finland
45123,Paula-Irmeli Halonen,F,177,69,Finland
45124,Taisto Ilmari Halonen,M,164,55,Finland
45125,Stephane-Joseph Halot,M,,,Belgium-3
45126,Hemza Haloui,M,180,96,Algeria
45127,William Halpenny,M,,,Canada
45128,"Robert Sherman ""Bob"" Halperin",M,183,93,Shrew II
45129,David Halpern,M,178,79,United States
45130,"Gerald Alexander ""Jerry"" Halpin",M,170,,Australia
45131,Thomas James Halpin,M,185,71,United States
45132,"Daniel ""Dano"" Halsall",M,190,90,Switzerland
45133,"Francesca Jean ""Fran"" Halsall",F,172,64,Great Britain
45134,Arne Halse,M,172,80,Norway
45135,Jarle Halsnes,M,,,Norway
45136,John Preston Halstead,M,173,59,United States
45137,Nellie Halstead,F,,,Great Britain
45138,Laurence Halsted,M,185,85,Great Britain
45139,"Nicholas ""Nick"" Halsted",M,179,67,Great Britain
45140,Wyndham Halswelle,M,,,Great Britain
45141,Petra Haltmayr,F,166,62,Germany
45142,Raili Karin Helena Halttu (-Renkonen),F,165,54,Finland
45143,Trine Haltvik,F,172,71,Norway
45144,Joachim Halupczok,M,180,78,Poland
45145,"Rudolph John ""Rudy"" Haluza",M,178,69,United States
45146,Jzsef Haluzsinszky,M,,,Hungary
45147,Majid Halvaie,M,176,78,Iran
45148,Mika Kristian Halvari,M,191,145,Finland
45149,Mikko Johannes Halvari,M,183,93,Finland
45150,Jan Ivar Halvarsson,M,182,73,Sweden
45151,Rolf Lars-Gran Halvarsson,M,186,80,Sweden
45152,Asbjrn Halvorsen,M,,,Norway
45153,Finn Halvorsen,M,183,74,Norway
45154,Harald Halvorsen,M,,,Norway
45155,John Halvorsen,M,174,58,Norway
45156,Stein Lund Halvorsen,M,190,88,Norway
45157,Buumba Gabriel Halwand,M,175,51,Zambia
45158,Ham Bong-Sil,F,155,42,North Korea
45159,Ham Chan-Mi,F,172,59,South Korea
45160,Ham Deog-Won,M,182,103,South Korea
45161,"Eduard ""Eddy"" Ham",M,182,77,Netherlands
45162,Ham Il-Nyon,M,176,76,North Korea
45163,Ham Jeong-Uk,M,190,86,South Korea
45164,Ham Sang-Myeong,M,168,56,South Korea
45165,Fumie Hama,F,157,62,Japan
45166,Keiko Hama,F,172,69,Japan
45167,Pavla Hamkov (-Rybov),F,170,60,Czech Republic
45168,Mohamed Hamad,M,170,74,Egypt
45169,Rashid Salih Hamad Al-Athba,M,182,85,Qatar
45170,Sulaiman Hamad,M,177,66,Saudi Arabia
45171,Ahmed Hamada Jassim,M,183,70,Bahrain
45172,Kichijiro Hamada,M,178,67,Japan
45173,Mayu Hamada,F,174,57,Japan
45174,Saburo Hamada,M,,,Japan
45175,Shunkichi Hamada,M,,,Japan
45176,Toshihiro Hamada,M,183,82,Japan
45177,Hideki Hamaguchi,M,195,103,Japan
45178,Kyoko Hamaguchi,F,170,72,Japan
45179,Noriko Hamaguchi (-Koiso),F,183,80,Japan
45180,Yoshihiro Hamaguchi,M,183,78,Japan
45181,"Marama Cecelia ""Skippy"" Hamahona (McGregor-)",F,170,65,New Zealand
45182,George Hamaiko,M,,71,Zambia
45183,Mohi El-Din Abdel Hamid El-Hamaky,M,,,Egypt
45184,Surendra Hamal,M,162,60,Nepal
45185,Eduard Hmlinen,M,194,91.5,Unified Team
45186,Vesa Erik Hmlinen,M,188,90,Finland
45187,Kalevi Nikolai Hmlinen,M,172,65,Finland
45188,Mika Ilkka Hmlinen,M,183,87,Finland
45189,Mikko Hmlinen,M,,,Finland
45190,Pentti Olavi Hmlinen,M,165,54.5,Finland
45191,Tuomo Juhani Hmlinen,M,187,83,Finland
45192,Gdara Hamam,M,183,76,Tunisia
45193,Mehdi Hamama,M,187,88,Algeria
45194,Sabahattin Hamamcolu,M,170,55,Turkey
45195,Hideo Hamamura,M,160,58,Japan
45196,Vclav Haman,M,180,85,Czech Republic
45197,Loucif Hamani,M,175,71,Algeria
45198,Conny Hamann-Boeriths,F,,,Denmark
45199,Helmut Hamann,M,175,62,Germany
45200,Steffen Ewald Hamann,M,194,90,Germany
45201,Yuji Hamano,M,178,65,Japan
45202,Hryhoriy Oleksandrovych Hamarnik,M,171,73,Soviet Union
45203,Arne Hamarsland (Hammersland-),M,177,68,Norway
45204,Kimihiro Hamaya,M,175,74,Japan
45205,Eiichiro Hamazaki,M,167,65,Japan
45206,Ondrej Hamblek,M,198,100,Slovakia
45207,Davit Hambardzumyan,M,175,74,Soviet Union
45208,Eduard Hambardzumyan,M,172,65,Armenia
45209,John Werge Hamber,M,188,102,United States Virgin Islands
45210,Matti Johan Hamberg,M,173,71,Finland
45211,Josef Hamberger,M,,,Austria
45212,Wolfgang Hamberger,M,182,82,West Germany
45213,"John Henry ""Jack"" Hambidge",M,,,Great Britain
45214,Mabel Hamblen (-North),F,,,Great Britain
45215,"Catherine Louise ""Cathy"" Hamblin",F,164,51,United States
45216,Nikki Jayne Hamblin,F,165,52,New Zealand
45217,Barbara Hambly,F,170,65,Great Britain
45218,Sharon Hambrook (-Boreyko),F,159,52,Canada
45219,Fabian Hambchen,M,164,62,Germany
45220,Bo Hee Hamburger,M,174,59,Denmark
45221,Sjoerd Herman Hamburger,M,205,100,Netherlands
45222,Ahmad Saber Hamcho,M,168,72,Syria
45223,Akel Hamdan,M,,,Syria
45224,Raed Hamdan,M,,,Saudi Arabia
45225,Abdel Hamid Hamdi,M,,,Egypt
45226,Mohamed Sayed Mohamed Hamdi,M,,,Egypt
45227,Moreldin Mohamed Hamdi,M,172,76,Sudan
45228,Mohamed Hamdi Osman Ahmed,M,190,78,Egypt
45229,Hichem Al-Hamdouni,M,185,80,Tunisia
45230,Abdel Salam Hamdy,M,,,Egypt
45231,Ahmed Hamdy Ahmed,M,,,Egypt
45232,Moustafa Ismail Mahmud Hamdy,M,170,75,Egypt
45233,Aymen Hamed,M,196,95,Tunisia
45234,Badr El-Din Hamed,M,,,Egypt
45235,Hussain El-Din Hamed,M,165,68,Egypt
45236,Nayef Mohamed Hameed,M,179,91,Iraq
45237,Engelina Helena Hameetman-Schlette,F,,,Netherlands
45238,Jean-Claude Hamel,M,,,France
45239,Mathieu Hamel,M,190,82,France
45240,Ren Nicolas Adrien Hamel,M,,,France
45241,Werner Hans Fritz Hamel,M,,,Germany
45242,Charles Hamelin,M,175,71,Canada
45243,Franois Hamelin,M,175,73,Canada
45244,Aafke Hament,F,181,64,Netherlands
45245,Ian Martin Hamer,M,173,61,Great Britain
45246,Tetiana Hamera-Shmyrko,F,165,52,Ukraine
45247,Wacaw Micha Hamerliski,M,167,72,Poland
45248,"Robert Williams ""Bob"" Hamerton",M,,,Canada
45249,Franz Hametner,M,,,Austria
45250,"Daniel ""Dan"" Hamhuis",M,185,92,Canada
45251,Abdel Krim Hamiche,M,180,78,Algeria
45252,Abdul Hamid,M,175,68,Pakistan
45253,Abdul Hamid,M,163,64,Pakistan
45254,"H. A. Abdullah ""Dollah"" Hamid",M,,,Singapore
45255,Khalid Hamid,M,169,65,Pakistan
45256,Nor Azhar Hamid Abdul,M,182,60,Singapore
45257,Raheem Hamid Awfi,M,,,Iraq
45258,Tarek Hamid,M,190,95,Egypt
45259,Sakhidad Hamidi,M,170,68,Afghanistan
45260,Abdoukerim Hamidou,M,172,67,Togo
45261,mile (Emanuel) Hamilius,M,176,80,Luxembourg
45262,Jean Hamilius,M,,,Luxembourg
45263,"Dorothy Stuart Hamill (-Martin, -Forsythe)",F,160,55,United States
45264,"Gerard ""Gerry"" Hamill",M,173,59,Ireland
45265,"Robert Miles ""Rob"" Hamill",M,,,New Zealand
45266,Samantha Hamill,F,164,53,Australia
45267,Hamilton Rubio,M,169,64,Brazil
45268,"Elizabeth ""Betty"" Hamilton",F,,,Canada
45269,Brian Hamilton,M,175,65,Ireland
45270,Brutus Kerr Hamilton,M,183,80,United States
45271,Carl-Jan Gustaf David Hamilton,M,,,Sweden
45272,Claire Hamilton,F,170,63,Great Britain
45273,Colin Michael Hamilton,M,,,Australia
45274,"Donald Leslie ""Don"" Hamilton",M,173,75,United States
45275,"Douglas ""Doug"" Hamilton",M,186,83,Canada
45276,Ellen Margaret Hamilton,F,,,Sweden
45277,"Ernest Samuel ""Ernie"" Hamilton",M,,,Canada
45278,"William Franklin ""Frank"" Hamilton",M,176,70,United States
45279,Gillian Ruth Hamilton,F,172,57,Canada
45280,Glenn Donald Hamilton,M,,,New Zealand
45281,Graham Hamilton,M,,,Australia
45282,James Hamilton,M,178,68,New Zealand
45283,"James ""Jamie"" Hamilton",M,,,Great Britain
45284,Kyle Hamilton,M,199,96,Canada
45285,"Leslie ""Les"" Hamilton",M,,,Canada
45286,Letitia Marion Hamilton,F,,,Ireland
45287,Mark David Hamilton,M,190,83,United States
45288,Mary Patricia Hamilton (-Darby),F,163,59,New Zealand
45289,Melina Dawn Hamilton (-Holmes),F,172,64,New Zealand
45290,Owen Hamilton,M,178,64,Jamaica
45291,Paul Ebiye Hamilton,M,172,67,Nigeria
45292,Reid Hayston Hamilton,M,,,New Zealand
45293,Richard Hamilton,M,175,67,Jamaica
45294,Richard Hamilton,M,196,94,Great Britain
45295,Scott Scovell Hamilton,M,160,50,United States
45296,Sherman Richard O'Neil Hamilton,M,186,85,Canada
45297,"Simeon ""Simi"" Hamilton",M,180,78,United States
45298,Tyler S. Hamilton,M,172,65,United States
45299,William E. H. Hamilton,M,,,Canada
45300,William Miles Hamilton,M,179,,Canada
45301,Henning William Percy Hamilton,M,189,83,Sweden
45302,Thomas Hamilton-Brown,M,,,South Africa
45303,Sally Hamilton-Fleming,F,179,63,Australia
45304,Charles Borden Hamlin,M,186,90,United States
45305,Erin Mullady Hamlin,F,170,65,United States
45306,Frederick George Hamlin,M,,,Great Britain
45307,William Donald Hamlyn-Harris,M,191,96,Australia
45308,"Edward Barton ""Ed"" Hamm",M,179,70,United States
45309,"Joseph Patrick ""Joe"" Hamm",M,180,75,United States
45310,"Mariel Margaret ""Mia"" Hamm (-Corry, -Garciaparra)",F,165,56,United States
45311,Morgan Carl Hamm,M,165,65,United States
45312,Paul Elbert Hamm,M,165,62,United States
45313,Fahem Hammachi,M,178,56,Algeria
45314,Abderrahmane Hammad Zaheer,M,189,70,Algeria
45315,Mohamed Miskin Hammad,M,180,99,Sudan
45316,Hammadi Ahmad Abdullah Al-Daiya,M,172,76,Iraq
45317,Riheb Al-Hammami,F,170,68,Tunisia
45318,Le Roux Hamman,M,185,70,South Africa
45319,Shane Justin Hamman,M,173,161,United States
45320,Ferenc Hammang,M,184,77,Hungary
45321,Karl Adolf Clarence Hammar,M,,,Sweden
45322,Pauline Louisa Hammarlund,F,172,65,Sweden
45323,Hans Inge Hammarstrm,M,183,80,Sweden
45324,Ingegerd Marie Hammarstrm,F,172,64,Sweden
45325,Axel Rune Hammarstrm,M,,,Sweden
45326,"Richard Bernard ""Dick"" Hammer",M,188,80,United States
45327,"Frdric ""Fred"" Hammer",M,178,67,Luxembourg
45328,Kaare Nrregaard Hammer,M,180,64,Norway
45329,Kristian Hammer,M,178,63,Norway
45330,Paul Hammer,M,,,Luxembourg
45331,Rolando Hammer Casadio,M,,,Chile
45332,Sarah Kathryn Hammer (-Sparks),F,171,65,United States
45333,Hubert Hammerer,M,172,78,Austria
45334,"Therese ""Resi"" Hammerer (-Giger)",F,,,Austria
45335,Jessica Hammerl,F,161,61,Germany
45336,Lszl Hammerl,M,179,90,Hungary
45337,Alessandro Hmmerle,M,190,82,Austria
45338,Alfred Hmmerle,M,,,Austria
45339,Gustav Hmmerlin,M,160,59,United States
45340,Gisela Hmmerling,F,163,61,Switzerland
45341,Odd Hammernes,M,180,75,Norway
45342,Hubert Hammerschmied,M,,,Austria
45343,Gro Hammerseng (-Hammerseng-Edin),F,180,68,Norway
45344,Arturo Hammersley,M,,,Chile
45345,Christopher Ralph Hammersley,M,,,Great Britain
45346,Rodolfo Hammersley Hempel,M,,,Chile
45347,Ewald Hammes,M,180,78,West Germany
45348,Bianca Maree Hammett,F,173,55,Australia
45349,Abdel Aziz Hammi,M,162,54,Tunisia
45350,"Rebecca Lynn ""Becky"" Hammon",F,168,62,Russia
45351,Barbara A. Hammond (-Pearson),F,172,66,Great Britain
45352,"William Robert ""Bill"" Hammond",M,,,England
45353,Cameron Hammond,M,179,,Australia
45354,Chelsea Hammond,F,,,Jamaica
45355,David Thurwell Hammond,M,,,Chicago Athletic Association-2
45356,Graeme Monroe Hammond,M,,,United States
45357,John Maurice Hammond,M,,,Great Britain-2
45358,Jonathan William James Hammond,M,186,75,Great Britain
45359,"Kathleen ""Kathy"" Hammond (-Tyson)",F,170,55,United States
45360,Leslie Charles Hammond,M,184,,India
45361,Marvin David Hammond,M,,,Canada
45362,"Robert Rodney ""Rob"" Hammond",M,176,75,Australia
45363,Roger Edward Hammond,M,174,71,Great Britain
45364,Sarah Hammond,F,172,74,Australia
45365,"Stanley R.A. ""Stan"" Hammond",M,,,Australia
45366,Thomas Arthur Hammond,M,185,80,South Africa
45367,"Thomas Edgar ""Tommy"" Hammond",M,,,Great Britain
45368,Wayne Gary Hammond,M,184,75,Australia
45369,William Hammond,M,185,,Great Britain
45370,Jeffrey Bryan Hammonds,M,183,84,United States
45371,Ralph Waldo Hammonds,M,,,United States
45372,Salima Hammouche,F,165,45,Algeria
45373,Adel Hammoude,M,,,Syria
45374,Raad Hammoudi Salman Al-Dulaimi,M,,,Iraq
45375,Franois Hamon,M,164,61,France
45376,Matthew M. Hamon,M,175,70,United States
45377,Martin Hmor,M,170,85,Czechoslovakia
45378,"Jen Arhand ""Gene"" Hmori",M,183,77,Hungary
45379,Zsuzsanna Hmori,F,158,43,Hungary
45380,Antal Hmos,M,,,Hungary
45381,Mria Hmos,F,,,Hungary
45382,Tahar Hamou,M,176,64,Algeria
45383,Mohamed Hamouda,M,,,Egypt
45384,Anas Hamoudeh,M,173,71,Jordan
45385,Mohamed Hamout,M,167,56,Morocco
45386,Jan Hampel,M,,,Poland
45387,Olaf Hampel,M,183,98,West Germany-1
45388,"Thomas ""Tommy"" Hampson",M,184,69,Great Britain
45389,Curt Hampstead,M,186,73,Guyana
45390,David Hampton,M,178,65,Great Britain
45391,"Millard Frank Hampton, Jr.",M,180,75,United States
45392,Kheira Hamraoui,F,179,66,France
45393,"Lars Arne ""Lasse"" Hamre",M,,,Norway
45394,Oscar Bror Emanuel Hamrn,M,,,Sweden
45395,Jan Hamk,M,174,76,Czechoslovakia
45396,"Ingrid Marie-Louise ""Midde"" Hamrin",F,167,53,Sweden
45397,Sven Helge Hamrin,M,176,72,Sweden
45398,Roman Hamrlk,M,186,95,Czech Republic
45399,Aleya Hamrouni,M,177,78,Tunisia
45400,Amir Hussin Hamsain,M,162,61,Philippines
45401,Rusli Hamsjin,M,172,70,Indonesia
45402,Iosyp Hamskiy,M,182,106,Soviet Union
45403,Mathias Tulyoongeleni Hamunyela,M,160,49,Namibia
45404,Tetsuo Hamuro,M,,,Japan
45405,gnes Hamvas,F,170,,Hungary
45406,Abdel Galil Ahmed Hamza Hemueda,M,,,Egypt
45407,Jamal Ali Hamza,M,174,69,Iraq
45408,Mohamed Hamza,M,172,62,Egypt
45409,Samar Amer Ibrahim  Hamza,F,170,75,Egypt
45410,Hamdan Hamzah,M,,,Malaysia
45411,Mazlan Hamzah,M,,,Malaysia
45412,Hassan Hamze,M,,,Lebanon
45413,Kassem Hamz,M,166,62,Lebanon
45414,Romana Hamzov,F,176,71,Czech Republic
45415,Han Bing,F,,,China
45416,Brooklee Han,F,150,42,Australia
45417,Han Byeong-Guk,M,,,South Korea
45418,Marie Antoinette Estrelle Chantal Han,F,168,66,Netherlands
45419,Han Chun-Ok,F,160,61,North Korea
45420,Han Chung-Sik,M,165,60,South Korea
45421,Han Dawei,M,172,67,China
45422,Han Do-Ryeong,M,178,72,South Korea
45423,Han Duan,F,174,60,China
45424,Han Gang,M,179,62,China
45425,Han Geum-Sil,F,169,63,South Korea
45426,Han Gi-Beom,M,207,85,South Korea
45427,Han Gi-Ju,M,186,90,South Korea
45428,Han Gwang-Ho,M,,,South Korea
45429,Han Gwang-Hyeong,M,,,South Korea
45430,Han Gwang-Song,M,162,55,North Korea
45431,Han Gyeong-Ae,F,176,65,South Korea
45432,Han Gyeong-Im,F,155,46,South Korea
45433,Han Gyeong-Tae,M,191,86,South Korea
45434,Han Gyong-Si,M,155,56,North Korea
45435,Han Gyu-Cheol,M,181,75,South Korea
45436,Han Hsin-Lin,F,161,58,Chinese Taipei
45437,Han Hwa-Su,F,167,73,South Korea
45438,Han Hye-Ja,F,,,South Korea
45439,Han Hye-Ryeong,F,163,56,South Korea
45440,Han Hye-Sun,F,168,66,South Korea
45441,Han Hyeon-Seon,F,183,69,South Korea
45442,Han Hyeon-Suk,F,175,62,South Korea
45443,Han Hyeong-Bae,M,184,82,South Korea
45444,Han Hyeong-Min,M,172,64,South Korea
45445,Han In-Sok,M,169,68,North Korea
45446,Han Jang-Seok,M,189,83,South Korea
45447,Han Jeong-Guk,M,,,South Korea
45448,Han Jeong-Mi,F,165,64,South Korea
45449,Han Ji-Hwan,M,170,66,South Korea
45450,Han Jialiang,M,183,78,China
45451,Han Jin-Seop,M,172,70,South Korea
45452,Han Jin-Su,M,173,68,South Korea
45453,Han Jing,F,184,82,China
45454,Han Jingna,F,175,62,China
45455,Han Jinsuo,M,,,China
45456,Han Jong-In,M,170,60,North Korea
45457,Han Jong-Ok,F,148,39,North Korea
45458,Han Juk-Hui,F,160,51,South Korea
45459,Justin (Jiapeng-) Han,M,184,75,Australia
45460,"Qi ""Kevin"" Han",M,187,86,United States
45461,Han Kum-Ok,F,156,55,North Korea
45462,Han Ling,F,163,51,China
45463,Han Min-Su,M,182,108,South Korea
45464,Han Myeong-Hui,F,165,58,South Korea
45465,Han Myeong-Mok,M,160,65,South Korea
45466,Han Myeong-Seok,M,170,60,South Korea
45467,Han Myeong-U,M,170,84,South Korea
45468,Han Myung-Hee,M,,,South Korea
45469,Han Na-Gyeong,F,160,53,South Korea
45470,Han O-Gyeong,F,162,57,South Korea
45471,Han Peng,M,187,87,China
45472,Han Pil-Hwa,F,170,61,North Korea
45473,Han Qingling,F,177,70,China
45474,Han Ryon-Hui,F,160,58,North Korea
45475,Han Sang-Guk,M,172,62,North Korea
45476,Han Sang-Hun,M,175,79,South Korea-2
45477,Han Sang-Ryong,M,,,South Korea
45478,Han Seon-Hui,F,174,65,South Korea
45479,Han Seong-Cheol,M,169,63,South Korea
45480,Han Seung-Hun,M,171,62,South Korea
45481,Han Seung-Woo,M,173,86,South Korea
45482,Han Shuxiang,M,175,69,China
45483,Han Song-Hui,F,158,50,South Korea
45484,Han Song-I,F,186,65,South Korea
45485,Han Su-An,M,,,South Korea
45486,Han Sun-Cheol,M,178,60,South Korea
45487,Han Sun-Hi,F,165,58,North Korea
45488,Han Tae-Young,M,190,96,South Korea
45489,Han Tianyu,M,173,65,China
45490,Han Wenxia,F,180,75,China
45491,Han Xiaopeng,M,173,75,China
45492,Xing Han,F,165,57,Congo (Brazzaville)
45493,Han Xue,F,177,68,China
45494,Han Yaqin,F,179,77,China
45495,Han Yeong-Hui,F,170,51,South Korea
45496,Ying Han,F,170,60,Germany
45497,Han Yu-Mi,F,180,65,South Korea
45498,Han Yucheng,M,178,55,China
45499,Han Yue Shuang,F,175,54,Hong Kong
45500,Han Yun-Su,M,,,South Korea
